187	Украина	Украина
20528	Север	Север
20551	Черниговская область	Черниговская область
24851	Черниговская область	Щорский район
28577	Черниговская область	Щорский район
28510	Черниговская область	Щорский район
27715	Черниговская область	Щорский район
28788	Черниговская область	Щорский район
29062	Черниговская область	Щорский район
24850	Черниговская область	Черниговский район
28648	Черниговская область	Черниговский район
28205	Черниговская область	Черниговский район
27958	Черниговская область	Черниговский район
27893	Черниговская область	Черниговский район
28914	Черниговская область	Черниговский район
28939	Черниговская область	Черниговский район
29058	Черниговская область	Черниговский район
24849	Черниговская область	Талалаевский район
28521	Черниговская область	Талалаевский район
24848	Черниговская область	Сребнянский район
27815	Черниговская область	Сребнянский район
27498	Черниговская область	Сребнянский район
28971	Черниговская область	Сребнянский район
24847	Черниговская область	Сосницкий район
28565	Черниговская область	Сосницкий район
28969	Черниговская область	Сосницкий район
24846	Черниговская область	Семеновский район
28647	Черниговская область	Семеновский район
28613	Черниговская область	Семеновский район
28020	Черниговская область	Семеновский район
28898	Черниговская область	Семеновский район
28924	Черниговская область	Семеновский район
24845	Черниговская область	Репкинский район
28456	Черниговская область	Репкинский район
28412	Черниговская область	Репкинский район
28203	Черниговская область	Репкинский район
27514	Черниговская область	Репкинский район
27470	Черниговская область	Репкинский район
29059	Черниговская область	Репкинский район
24844	Черниговская область	Прилукский район
28768	Черниговская область	Прилукский район
28436	Черниговская область	Прилукский район
27897	Черниговская область	Прилукский район
27864	Черниговская область	Прилукский район
29060	Черниговская область	Прилукский район
24843	Черниговская область	Носовский район
28138	Черниговская область	Носовский район
27981	Черниговская область	Носовский район
27939	Черниговская область	Носовский район
27872	Черниговская область	Носовский район
24842	Черниговская область	Новгород-Северский район
28724	Черниговская область	Новгород-Северский район
28119	Черниговская область	Новгород-Северский район
28807	Черниговская область	Новгород-Северский район
24841	Черниговская область	Нежинский район
28520	Черниговская область	Нежинский район
27843	Черниговская область	Нежинский район
27260	Черниговская область	Нежинский район
24840	Черниговская область	Менский район
28547	Черниговская область	Менский район
27983	Черниговская область	Менский район
27912	Черниговская область	Менский район
27105	Черниговская область	Менский район
29055	Черниговская область	Менский район
28923	Черниговская область	Менский район
24839	Черниговская область	Куликовский район
27724	Черниговская область	Куликовский район
27259	Черниговская область	Куликовский район
24838	Черниговская область	Корюковский район
28571	Черниговская область	Корюковский район
27660	Черниговская область	Корюковский район
27461	Черниговская область	Корюковский район
29029	Черниговская область	Корюковский район
24837	Черниговская область	Коропский район
28345	Черниговская область	Коропский район
28331	Черниговская область	Коропский район
